id,name,category,stock_kg,purchase_price,selling_price,min_threshold_kg,updated_at
prod-1785661303413,PELON,poissonFrais,9,17500,19500,10,2026-08-02 10:09:46.910029+00
prod-1785661376480,BELLE DAME BLANC,poissonFrais,11,9000,11000,5,2026-08-02 10:09:46.910029+00
prod-1785661429307,BELLE DAME KAKI,poissonFrais,8,11000,12000,5,2026-08-02 10:09:46.910029+00
prod-1785661459446,MACHOIRON,poissonFrais,2,9000,11000,1,2026-08-02 10:09:46.910029+00
prod-1785661499628,MULLET,poissonFrais,23,22000,23000,10,2026-08-02 10:09:46.910029+00
prod-1785661532409,LAME,poissonFrais,5,16500,19000,3,2026-08-02 10:09:46.910029+00
prod-1785661574787,CARPE 300/500,poissonFrais,8,9000,11000,10,2026-08-02 10:09:46.910029+00
prod-1785661608247,CARPE ROUGE M,poissonFrais,15,21500,23000,10,2026-08-02 10:09:46.910029+00
prod-1785661638984,CARPE ROUGE P,poissonFrais,10,21500,23000,5,2026-08-02 10:09:46.910029+00
prod-1785661671178,CARPE ROUGE 2P,poissonFrais,25,15000,16000,10,2026-08-02 10:09:46.910029+00
prod-1785661725769,TOMBOLA,poissonFrais,7,15500,17000,5,2026-08-02 10:09:46.910029+00
prod-1785661797623,APPOLO JAPON,poissonFrais,16,11500,13000,10,2026-08-02 10:09:46.910029+00
prod-1785661843572,APPOLO MAROC 20 M,poissonFrais,12,26000,28000,5,2026-08-02 10:09:46.910029+00
prod-1785661888639,APPOLO 300/600,poissonFrais,2,25500,27000,10,2026-08-02 10:09:46.910029+00
prod-1785662020009,APPOLO 500/900,poissonFrais,9,31000,32000,5,2026-08-02 10:09:46.910029+00
prod-1785662064475,THON BLANC,poissonFrais,0,22500,24000,5,2026-08-02 10:09:46.910029+00
prod-1785662106624,TRIP DE BŒUF,poissonFrais,8,12000,14000,3,2026-08-02 10:09:46.910029+00
prod-1785662152294,SARDINE 22KG,poissonFrais,2,23000,25000,5,2026-08-02 10:09:46.910029+00
prod-1785662188706,SARDINE 30KG,poissonFrais,10,30500,34000,5,2026-08-02 10:09:46.910029+00
prod-1785662247419,MAGNE EBA P,poissonFrais,16,17000,19000,10,2026-08-02 10:09:46.910029+00
prod-1785662274051,MAGNE EBA M,poissonFrais,10,19000,21000,5,2026-08-02 10:09:46.910029+00
prod-1785662304212,MAGNE BONGA,poissonFrais,6,18000,20000,3,2026-08-02 10:09:46.910029+00
prod-1785662414366,APPOLO 16+,poissonFrais,8,20000,22000,10,2026-08-02 10:09:46.910029+00
prod-1785662447204,MAQUEREAU,poissonFrais,1,24000,25000,5,2026-08-02 10:09:46.910029+00
prod-1785662486726,APPOLO 200/400,poissonFrais,1,27500,29000,5,2026-08-02 10:09:46.910029+00
prod-1785662518011,MARQUEREAU P,poissonFrais,3,15500,17000,10,2026-08-02 10:09:46.910029+00
