id,sale_id,product_id,product_name,quantity_kg,unit_price
1,sale-1785665386118,prod-1785662188706,SARDINE 30KG,1,34000
2,sale-1785665386118,prod-1785662152294,SARDINE 22KG,1,25000
3,sale-1785665386118,prod-1785661843572,APPOLO MAROC 20 M,1,28000
4,sale-1785665483419,prod-1785661725769,TOMBOLA,1,17000
5,sale-1785669706037,prod-1785661725769,TOMBOLA,2,17000
6,sale-1785693632929,prod-1785661797623,APPOLO JAPON,1,13000
7,sale-1785693632929,prod-1785662152294,SARDINE 22KG,1,25000
8,sale-1785693632929,prod-1785662304212,MAGNE BONGA,1,20000
9,sale-1785693632929,prod-1785661459446,MACHOIRON,1,11000
10,sale-1785693632929,prod-1785661429307,BELLE DAME KAKI,1,12000
11,sale-1785693632929,prod-1785661574787,CARPE 300/500,1,11000
12,sale-1785695900266,prod-1785661499628,MULLET,1,23000
13,sale-1785696916161,prod-1785661797623,APPOLO JAPON,2,13000
14,sale-1785745291807,prod-1785661638984,CARPE ROUGE P,1,23000
15,sale-1785745291807,prod-1785662064475,THON BLANC,1,24000
16,sale-1785751046193,prod-1785662247419,MAGNE EBA P,1,19000
17,sale-1785751046193,prod-1785661303413,PELON,1,19500
18,sale-1785751046193,prod-1785661499628,MULLET,1,23000
19,sale-1785751046193,prod-1785661638984,CARPE ROUGE P,1,23000
20,sale-1785751046193,prod-1785661532409,LAME,1,19000
21,sale-1785751046193,prod-1785662152294,SARDINE 22KG,1,25000
22,sale-1785750183826,prod-1785661574787,CARPE 300/500,1,11000
23,sale-1785750183826,prod-1785661638984,CARPE ROUGE P,1,23000
24,sale-1785750183826,prod-1785662247419,MAGNE EBA P,1,19000
25,sale-1785751617180,prod-1785661499628,MULLET,1,23000
26,sale-1785751617180,prod-1785662274051,MAGNE EBA M,1,21000
27,sale-1785752187997,prod-1785661843572,APPOLO MAROC 20 M,1,28000
28,sale-1785754667846,prod-1785661797623,APPOLO JAPON,1,13000
29,sale-1785755320835,prod-1785661843572,APPOLO MAROC 20 M,1,28000
30,sale-1785755320835,prod-1785661376480,BELLE DAME BLANC,1,11000
31,sale-1785755320835,prod-1785661608247,CARPE ROUGE M,1,23000
32,sale-1785755320835,prod-1785662020009,APPOLO 500/900,1,32000
33,sale-1785756544563,prod-1785661638984,CARPE ROUGE P,1,23000
34,sale-1785756544563,prod-1785661574787,CARPE 300/500,1,11000
35,sale-1785756563649,prod-1785661574787,CARPE 300/500,1,11000
36,sale-1785758859232,prod-1785661797623,APPOLO JAPON,1,13000
37,sale-1785758859232,prod-1785661376480,BELLE DAME BLANC,1,11000
38,sale-1785761471938,prod-1785661303413,PELON,1,19500
39,sale-1785761471938,prod-1785662064475,THON BLANC,1,24000
40,sale-1785762075769,prod-1785661532409,LAME,1,19000
41,sale-1785762075769,prod-1785661303413,PELON,1,19500
42,sale-1785766105947,prod-1785662064475,THON BLANC,1,24000
43,sale-1785773552847,prod-1785661797623,APPOLO JAPON,1,13000
44,sale-1785773552847,prod-1785661499628,MULLET,1,23000
45,sale-1785781046630,prod-1785661303413,PELON,1,19500
46,sale-1785782487152,prod-1785661725769,TOMBOLA,1,17000
47,sale-1785782587461,prod-1785661608247,CARPE ROUGE M,1,23000
48,sale-1785829253471,prod-1785661843572,APPOLO MAROC 20 M,1,28000
49,sale-1785829253471,prod-1785661429307,BELLE DAME KAKI,1,12000
50,sale-1785830473239,prod-1785661303413,PELON,1,19500
51,sale-1785831499017,prod-1785661303413,PELON,1,19500
52,sale-1785833443458,prod-1785661574787,CARPE 300/500,2,11000
53,sale-1785833900170,prod-1785661303413,PELON,2,19500
54,sale-1785836069445,prod-1785661303413,PELON,1,19500
55,sale-1785836069445,prod-1785662247419,MAGNE EBA P,1,19000
56,sale-1785838043242,prod-1785661303413,PELON,3,19500
57,sale-1785838043242,prod-1785662152294,SARDINE 22KG,2,25000
58,sale-1785838043242,prod-1785661843572,APPOLO MAROC 20 M,1,28000
59,sale-1785838043242,prod-1785662247419,MAGNE EBA P,1,19000
60,sale-1785838043242,prod-1785662274051,MAGNE EBA M,1,21000
61,sale-1785838415519,prod-1785661608247,CARPE ROUGE M,1,23000
62,sale-1785843185441,prod-1785661499628,MULLET,1,23000
63,sale-1785862775736,prod-1785661376480,BELLE DAME BLANC,1,11000
64,sale-1785919149184,prod-1785662152294,SARDINE 22KG,1,25000
65,sale-1785922883428,prod-1785661303413,PELON,2,19500
66,sale-1785922883428,prod-1785661797623,APPOLO JAPON,1,13000
67,sale-1785922883428,prod-1785661574787,CARPE 300/500,1,11000
68,sale-1785926025312,prod-1785662247419,MAGNE EBA P,1,19000
69,sale-1785936029897,prod-1785661608247,CARPE ROUGE M,2,23000
70,sale-1785936029897,prod-1785661303413,PELON,2,19500
71,sale-1785936029897,prod-1785661532409,LAME,2,19000
72,sale-1785936029897,prod-1785662188706,SARDINE 30KG,1,34000
73,sale-1785936029897,prod-1785662274051,MAGNE EBA M,1,21000
74,sale-1785936029897,prod-1785661429307,BELLE DAME KAKI,1,12000
75,sale-1785936029897,prod-1785661376480,BELLE DAME BLANC,1,11000
76,sale-1785936086649,prod-1785661725769,TOMBOLA,3,17000
77,sale-1785936086649,prod-1785661303413,PELON,1,19500
78,sale-1785936086649,prod-1785662247419,MAGNE EBA P,1,19000
79,sale-1785940208503,prod-1785661638984,CARPE ROUGE P,1,23000
80,sale-1785940208503,prod-1785661608247,CARPE ROUGE M,1,23000
81,sale-1785940208503,prod-1785661574787,CARPE 300/500,1,11000
82,sale-1785945778525,prod-1785662247419,MAGNE EBA P,1,19000
83,sale-1785945778525,prod-1785661843572,APPOLO MAROC 20 M,1,28000
84,sale-1785955768163,prod-1785662152294,SARDINE 22KG,1,25000
85,sale-1785955768163,prod-1785661303413,PELON,2,19500
86,sale-1785955768163,prod-1785661608247,CARPE ROUGE M,1,23000
87,sale-1785955831009,prod-1785661303413,PELON,1,19500
88,sale-1785956412831,prod-1785662106624,TRIP DE BŒUF,1,14000
